White,WhiteElo,Result,Black,BlackElo,TimeControl,Date_clean,CurrentPosition,Termination,mainline_moves
Rizxtar,1537,1-0,snAp_freAk,1246,2m+1s,2024-02-03,6k1/pp3pp1/1b2p3/3B4/8/8/PP4PP/4RK1R b - -,Rizxtar won by resignation,1. d4 d5 2. c4 c6 3. Nc3 Bf5 4. f3 e6 5. e4 Bg6 6. Nge2 Nd7 7. Nf4 Ne7 8. exd5 cxd5 9. cxd5 Nxd5 10. Nxg6 hxg6 11. Ne4 Qh4+ 12. Ng3 Bd6 13. f4 Nxf4 14. Qf3 g5 15. Bb5 O-O 16. Bxd7 Rad8 17. Ba4 Bb4+ 18. Kf1 Rxd4 19. Ne2 Rd5 20. Bb3 Rd3 21. Qf2 Qg4 22. Bxf4 gxf4 23. Qxf4 Qxf4+ 24. Nxf4 Rd4 25. Ne2 Re4 26. Ng3 Re3 27. Kf2 Bc5 28. Kf1 Rd8 29. Re1 Red3 30. Ne4 Bb6 31. Nc3 R3d5 32. Nxd5 Rxd5 33. Bxd5
nebpetrovic,1619,0-1,snAp_freAk,1681,10m,2024-02-05,8/1r6/3R1p2/3K1kp1/3P4/2r5/8/8 w - -,snAp_freAk won by resignation,1. b4 d5 2. a4 Bf5 3. Bb2 c6 4. e3 e6 5. b5 Nf6 6. h3 Bd6 7. g4 Bg6 8. f4 Ne4 9. Bxg7 Qh4+ 10. Ke2 Qf2+ 11. Kd3 Nc5+ 12. Kc3 Rg8 13. Bd4 Ne4+ 14. Kb3 c5 15. Bc3 c4+ 16. Kb2 Nxc3 17. Nxc3 a6 18. Qe2 Qxe2 19. Bxe2 axb5 20. Nxb5 Ke7 21. Nxd6 Kxd6 22. Nf3 Na6 23. c3 Nc5 24. a5 Nb3 25. h4 Nxa1 26. Rxa1 Be4 27. Ng5 Bd3 28. Bf3 Rg7 29. e4 h6 30. exd5 hxg5 31. dxe6 Kxe6 32. f5+ Kd6 33. Bxb7 Rb8 34. a6 f6 35. h5 Be4 36. Kc1 Bxb7 37. axb7 Rgxb7 38. h6 Rh8 39. Ra6+ Ke7 40. Rc6 Rxh6 41. Rxc4 Kd6 42. Re4 Re7 43. Rd4+ Ke5 44. Kc2 Rh4 45. Kb3 Rb7+ 46. Kc4 Rc7+ 47. Kb5 Rb7+ 48. Kc6 Rhh7 49. Rd5+ Kf4 50. Rd4+ Kg3 51. Rd3+ Kxg4 52. Rd6 Kxf5 53. d4 Rhc7+ 54. Kd5 Rxc3
Mgr2050,1672,0-1,snAp_freAk,1718,10m,2024-02-05,2rq1rk1/pp1n1ppp/2n1p2B/3pPb2/1P1P3b/P7/3NBPPP/R2Q1RK1 b - -,snAp_freAk won by resignation,1. e4 c6 2. d4 d5 3. e5 Bf5 4. c3 e6 5. Nf3 Nd7 6. a3 c5 7. b4 cxd4 8. cxd4 Nb6 9. Be2 Rc8 10. O-O Ne7 11. Be3 Nc6 12. Nbd2 Be7 13. Nb3 Nd7 14. Nbd2 O-O 15. Nh4 Bxh4 16. Bh6
Vivek2810N,1712,1-0,snAp_freAk,1653,10m,2024-02-05,3Q2k1/p2n1ppp/8/1pr5/8/4P2P/Pb1PB3/3K2R1 b - -,Vivek2810N won by resignation,1. e3 c6 2. b3 d5 3. g3 Bf5 4. Bb2 e6 5. Bg2 Nf6 6. Nf3 Nbd7 7. Na3 Bd6 8. h3 O-O 9. Nh4 Be4 10. f3 Bxg3+ 11. Ke2 Bxc2 12. Qxc2 Bxh4 13. Raf1 c5 14. Kd1 Rc8 15. f4 c4 16. bxc4 dxc4 17. Nxc4 b5 18. Rfg1 Rxc4 19. Qb1 Nh5 20. Bf3 Ng3 21. Rxg3 Bxg3 22. Rg1 Qh4 23. Be2 Rc5 24. Qd3 Rd8 25. Qd4 e5 26. fxe5 Bxe5 27. Qxh4 Bxb2 28. Qxd8+
mohcineee13,1641,1-0,snAp_freAk,1650,10m,2024-02-05,3R2k1/2r2ppp/2q5/p3PbB1/Pp6/1B5P/1PP1Q3/2K5 b - -,mohcineee13 won by resignation,1. e4 c6 2. Bc4 d5 3. exd5 cxd5 4. Bb5+ Nc6 5. Nf3 Bg4 6. h3 Bh5 7. d4 e6 8. Qd3 Bd6 9. Ne5 Ne7 10. Bg5 O-O 11. g4 Nxe5 12. dxe5 Bg6 13. Qe2 Bc5 14. Nc3 Qb6 15. O-O-O Nc6 16. Na4 Qc7 17. Nxc5 Nd4 18. Rxd4 Qxc5 19. Rd2 Rfc8 20. Rhd1 a6 21. Bd7 Rc7 22. Ba4 b5 23. Bb3 a5 24. a3 b4 25. a4 Rac8 26. f4 Be4 27. f5 exf5 28. gxf5 Bxf5 29. Rxd5 Qc6 30. Rd8+ Rxd8 31. Rxd8+
e1501,1606,0-1,snAp_freAk,1686,10m,2024-01-30,8/1p3ppk/7p/p7/7P/P4bN1/1r5K/5R2 w - -,snAp_freAk won by resignation,1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 Bf5 6. Bg5 dxc4 7. Bxf6 exf6 8. Bxc4 Be7 9. Nf3 h6 10. O-O O-O 11. Nh4 Bh7 12. Re1 Nc6 13. d5 Ne5 14. Be2 f5 15. f4 Bxh4 16. fxe5 Bxe1 17. Qxe1 Re8 18. Bc4 Rc8 19. Bb3 a5 20. a3 Qb6+ 21. Qf2 Qxb3 22. Rf1 Rxe5 23. g4 Qc4 24. d6 Qxg4+ 25. Kh1 Rd8 26. Rg1 Qc4 27. Qg3 Bg6 28. Qxe5 Qc6+ 29. Qd5 Qxd5+ 30. Nxd5 Rxd6 31. Ne7+ Kh7 32. h4 Bh5 33. Nxf5 Rg6 34. Ng3 Bf3+ 35. Kh2 Rb6 36. Rf1 Rxb2+
iddotoledano,1194,0-1,snAp_freAk,1300,2m+1s,2023-10-06,r1b1kbnr/pp2pppp/2n5/3p4/3P1B2/2q2N2/P1P2PPP/1R1QKB1R w Kkq -,snAp_freAk won by resignation,1. d4 d5 2. Bf4 c5 3. e3 Nc6 4. Nf3 Qb6 5. Nc3 cxd4 6. exd4 Qxb2 7. Rb1 Qxc3+
gmoumtzidis,1354,1/2-1/2,snAp_freAk,1292,2m+1s,2023-10-06,8/8/8/8/8/6kp/4n3/7K w - -,Game drawn by stalemate,1. e4 c6 2. Nc3 d5 3. Nf3 Bg4 4. exd5 cxd5 5. Be2 e6 6. Nd4 Bxe2 7. Qxe2 Nf6 8. d3 a6 9. Nxe6 fxe6 10. Qxe6+ Qe7 11. Qxe7+ Bxe7 12. Bg5 O-O 13. Bxf6 Bxf6 14. Nxd5 Bxb2 15. Rb1 Re8+ 16. Kd2 Bd4 17. Nc7 Nc6 18. Nxa8 Rxa8 19. Rxb7 Bxf2 20. Rf1 Bd4 21. c3 Bf6 22. Rfb1 Rd8 23. R7b6 Ne5 24. Rxf6 gxf6 25. d4 Nc4+ 26. Kd3 Nd6 27. Rb6 a5 28. a4 Kf7 29. Ra6 Nb7 30. Ra7 Rd7 31. Kc4 Rc7+ 32. Kb3 Ke6 33. c4 Kd6 34. c5+ Kc6 35. Kc4 Nd8 36. d5+ Kd7 37. Rxc7+ Kxc7 38. Kb5 Nb7 39. d6+ Kd7 40. Kb6 Nd8 41. Kxa5 Kc6 42. Kb4 Nb7 43. a5 Nxc5 44. Kc4 Kxd6 45. Kd4 Nb3+ 46. Ke4 Nxa5 47. Kf5 Ke7 48. h4 Kf7 49. g4 Nc6 50. g5 fxg5 51. Kxg5 Kg7 52. Kf5 Ne7+ 53. Kg5 Ng6 54. h5 Nf8 55. Kf5 Kh6 56. Kg4 Ne6 57. Kh4 Nf4 58. Kg4 Nxh5 59. Kh4 Nf6 60. Kh3 Kh5 61. Kg3 Ng4 62. Kh3 h6 63. Kg3 Kg5 64. Kh3 Ne3 65. Kg3 h5 66. Kh3 h4 67. Kh2 Kg4 68. Kg1 Nf5 69. Kh2 h3 70. Kg1 Ng3 71. Kh2 Kh4 72. Kg1 Ne2+ 73. Kh2 Kg4 74. Kh1 Kg3
Gigaguy43,1340,1-0,snAp_freAk,1285,2m+1s,2023-10-06,r3kb1r/p3npp1/2p4p/3pPb2/3Q4/8/PP1N1PPP/R1B2RK1 b kq -,Gigaguy43 won by resignation,1. e4 c6 2. Nf3 d5 3. e5 Bf5 4. c3 e6 5. d4 c5 6. Bb5+ Nc6 7. Bxc6+ bxc6 8. Qa4 Qb6 9. O-O Ne7 10. Nbd2 h6 11. c4 cxd4 12. cxd5 exd5 13. Nxd4 Qxd4 14. Qxd4
IronNinjaFish,1146,0-1,snAp_freAk,1279,2m+1s,2023-10-06,6k1/4bpp1/7p/5p1P/8/7K/6r1/7q w - -,snAp_freAk won by checkmate,1. d4 d5 2. c4 c6 3. c5 Bf5 4. Nc3 e6 5. Nf3 Nf6 6. e3 h6 7. Be2 Nbd7 8. O-O Be7 9. h3 O-O 10. Bd2 Ne4 11. Nxe4 Bxe4 12. Ne5 Nxe5 13. dxe5 Bxc5 14. Bc3 Qb6 15. Bd3 Bxd3 16. Qxd3 Rad8 17. b4 Be7 18. Rab1 Qc7 19. b5 c5 20. b6 axb6 21. e4 d4 22. Bd2 c4 23. Qc2 c3 24. Bf4 d3 25. Qb3 c2 26. Rbc1 Rd4 27. Be3 Rd7 28. f4 Rfd8 29. Bd2 Qc5+ 30. Kh1 b5 31. Rf3 b4 32. Be3 Qc3 33. Qxc3 bxc3 34. Bb6 Rc8 35. Be3 d2 36. Bxd2 cxd2 37. Rxc2 d1=Q+ 38. Kh2 Rxc2 39. Rg3 Qe2 40. a4 Rd4 41. a5 Rxe4 42. f5 Qxg2+ 43. Rxg2 Rxg2+ 44. Kxg2 exf5 45. Kf3 Rxe5 46. Kf4 Rxa5 47. h4 Rc5 48. h5 b5 49. Ke3 b4 50. Kd3 b3 51. Kd2 b2 52. Kd3 b1=Q+ 53. Kd2 Rc2+ 54. Kd3 Qd1+ 55. Ke3 Re2+ 56. Kf4 Qf1+ 57. Kg3 Rg2+ 58. Kh3 Qh1#
